time,close,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment
1993-09-27,763.2,1.51,,-6.159818541470296,,-0.1,77.9
1993-10-04,764.3,1.5,,-6.169975944401424,,-0.1,77.9
1993-10-11,787.4,1.41,,-6.186869683422654,,-0.1,77.9
1993-10-18,772.7,1.46,,-6.232406272202331,,-0.1,77.9
1993-10-25,779.3,1.44,,-6.225079398289487,,-0.1,77.9
1993-11-01,763,1.55,,-6.224717256075069,,0,82.7
1993-11-08,779.3,1.55,,-6.2142066800719835,,0,82.7
1993-11-15,751.6,1.62,,-6.232746765903362,,0,82.7
1993-11-22,754.9,1.62,,-6.231181586574059,,0,82.7
1993-11-29,772.2,1.56,,-6.203053348016768,,-0.1,81.2
1993-12-06,760.7,1.52,,-6.173630231405323,,-0.1,81.2
1993-12-13,759.2,1.61,,-6.181478250964872,,-0.1,81.2
1993-12-20,758.7,1.54,,-6.163605543969819,,-0.1,81.2
1993-12-27,776.8,1.58,,-6.15372834202088,,-0.1,88.2
1994-01-03,782.9,1.61,,-6.199739841955353,,-0.1,88.2
1994-01-10,792.3,1.61,,-6.1348217681375745,,-0.1,88.2
1994-01-17,794.3,1.64,,-6.099535920969147,,-0.1,88.2
1994-01-24,796.5,1.6,,-6.091853565466784,,-0.1,88.2
1994-01-31,777.3,1.52,,-6.0783120529935735,,0,94.3
1994-02-07,781.4,1.44,,-6.11720422510246,,0,94.3
1994-02-14,788.9,1.52,,-6.095195829308715,,0,94.3
1994-02-21,783.8,1.49,,-6.092795977872361,,0,94.3
1994-02-28,790.6,1.5,,-6.046853296256593,,0,93.2
1994-03-07,789.2,1.51,,-6.052056794416102,,0,93.2
1994-03-14,803.9,1.46,,-6.041183935442154,,0,93.2
1994-03-21,783.5,1.51,,-6.0602383365478305,,0,93.2
1994-03-28,743.5,1.56,,-6.119251808044704,,0.03,91.5
1994-04-04,748.7,1.49,,-6.1004846400919375,,0.03,91.5
1994-04-11,728,1.48,,-6.076130471522975,,0.03,91.5
1994-04-18,722.6,1.32,,-6.03065301138594,,0.03,91.5
1994-04-25,733.8,1.29,,-6.0231961687740245,,0.03,91.5
1994-05-02,732.9,1.23,,-5.998511424762033,,-0.07,92.6
1994-05-09,716.9,1.23,,-5.92627093259618,,-0.07,92.6
1994-05-16,726.7,1.23,,-5.932409580975419,,-0.07,92.6
