time,close,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment
1987-03-02,430.1,0.97,,,,-0.03,90.8
1987-04-01,417.8,0.92,,,,-0.03,90.8
1987-05-01,416.5,0.75,,,,-0.13,92.8
1987-06-01,424.7,0.86,,,,-0.13,91.1
1987-07-01,434.9,0.98,,,,-0.17,91.5
1987-08-03,455,1.01,,,,-0.1,93.7
1987-09-01,444.3,1.04,,,,-0.1,94.4
1987-10-01,323.3,1.3,,,,-0.07,93.6
1987-11-02,305.2,1.26,,,,-0.03,83.1
1987-12-01,330.5,1.06,,,,-0.03,86.8
1988-01-01,344.7,1.04,,,,-0.03,86.8
1988-02-01,367,1.03,,,,-0.07,91.6
1988-03-01,374.6,1.16,,,,-0.07,94.6
1988-04-01,379.2,1.17,,,,-0.07,94.6
1988-05-02,370.3,1.01,,,,-0.13,91.2
1988-06-01,394.7,0.85,,,,-0.03,94.8
1988-07-01,387.3,0.72,,-6.224267838815859,,-0.1,94.7
1988-08-01,376.6,0.54,,-6.104711398982345,,0,93.4
1988-09-01,387.7,0.45,,-5.973097190351044,,0,97.4
1988-10-03,382.5,0.4,,-5.835835111229492,,0,94.1
1988-11-01,371.5,0.22,,-5.749870287880656,,-0.07,93
1988-12-01,381.4,0,,-5.687066313665738,,-0.07,93
1989-01-02,401.3,-0.11,,-5.601445727599302,,0.03,97.9
1989-02-01,399.7,-0.23,,-5.665586876918165,,-0.07,95.4
1989-03-01,406.7,-0.43,,-5.669009507901156,,-0.1,94.3
1989-04-03,427.6,-0.18,,-5.625945776721563,,-0.1,94.3
1989-05-01,446.2,-0.23,,-5.744007785017765,,-0.03,91.5
1989-06-01,435.3,-0.04,,-5.859325589147984,,0.03,90.7
1989-07-03,453.8,0.31,,-5.79698239253259,,0.13,90.6
1989-08-01,469.3,-0.16,,-5.621090758811087,,0.1,92
1989-09-01,472.9,-0.11,,-5.6917582816894,,0.1,89.6
1989-10-02,455.6,0.07,,-5.766204592887394,,0.13,93.9
1989-11-01,456.1,0.09,,-5.9536266412734555,,0.2,90.9
1989-12-01,454.8,0.06,,-5.942345381455076,,0.2,90.9
1990-01-01,415.8,0.15,,-6.049101773501967,,0.13,93
1990-02-01,425.8,0.08,,-5.934197446476088,,0.13,89.5
1990-03-01,435.5,0.01,,-5.724801841880277,,0.13,89.5
1990-04-02,420.1,0.08,,-5.832019804967782,,0.1,91.3
1990-05-01,459,0.14,,-5.806704295161494,,0.13,93.9
1990-06-01,462.3,0.16,,-5.754797952678581,,0.13,90.6
1990-07-02,438.2,0.41,,-5.7181253500156055,,0.03,88.3
1990-08-01,381.2,0.74,,-5.742551080364614,,0.07,88.2
1990-09-03,344.5,0.86,,-5.839241021471307,,0.17,76.4
1990-10-01,329.8,0.88,,-5.797323959885266,,0.4,63.9
1990-11-01,359.1,0.73,,-5.8864670737485705,,0.5,66
1990-12-03,373.8,0.93,,-5.826198259267675,,0.6,65.5
1991-01-01,414.2,0.98,,-5.847405320709939,,0.77,66.8
1991-02-01,453.1,0.98,,-5.801942239128445,,0.97,70.4
1991-03-01,482.3,1.03,,-5.824282051529711,,0.97,70.4
1991-04-01,484.7,1.17,,-5.829952554370158,,1.2,87.7
1991-05-01,506.1,1.42,,-5.931356054335263,,1.3,81.8
