time,close,KD,J,RSI,COPPER · Capital.com: close,URANIUM · FXCM: close,US10Y · TVC: close,US02Y · TVC: close,ALUMINUM · Capital.com: close,REMX · NYSE Arca: close,XAUUSD · FXCM: close,BTCUSD · INDEX: close,USDKRW · FXCM: close
2024-07-12,18398.4455,82.31545266,70.3209843,63.63316301,4.57653,3924.3,4.187,4.456,2459,45.29,2411.58,57940.86,1375.602
2024-07-15,18472.5657,80.90165436,71.36992441,66.34556207,4.51043,3833.9,4.233,4.46,2429.5,44.53,2422.21,64793.09,1383.432
2024-07-16,18509.3402,79.44646595,71.04262995,67.70589219,4.45792,3775.39,4.16,4.419,2386.6,45.07,2468.7,65111.67,1385.502
2024-07-17,17996.9246,62.37068343,15.47930913,34.26869809,4.41986,3555.33,4.159,4.442,2379.3,44.11,2458.81,64125.2,1380.802
2024-07-18,17871.2231,50.19112638,-3.703453377,27.98330849,4.27072,3470.97,4.204,4.476,2358.9,43.09,2445.24,63988.89,1383.782
2024-07-19,17726.9398,38.64536864,-17.16631558,21.18847971,4.24529,3461.28,4.241,4.517,2324.3,42.97,2398.52,66727.63,1390.622
2024-07-22,18007.5678,35.98852874,1.440586855,34.98912388,4.21018,3511.31,4.254,4.521,2285.8,42.89,2396.36,67603.33,1382.872
2024-07-23,17997.3512,34.16287083,12.32475514,34.46963693,4.17745,3487.99,4.253,4.493,2268.9,41.95,2409.37,65971.26,1381.542
2024-07-24,17342.4133,26.56934432,-3.333529829,7.869853531,4.09215,3382.96,4.288,4.435,2265.4,40.77,2396.99,65397.85,1379.102
2024-07-25,17181.7245,22.04310119,-4.223943688,2.961329496,4.13298,3305.41,4.245,4.435,2246.2,41.11,2364.35,65808.95,1379.672
2024-07-26,17357.8816,21.22636725,6.051009971,11.76053099,4.12788,3392.31,4.194,4.389,2249.4,41.99,2387.71,67955.2,1380.312
2024-07-29,17370.2007,22.4549319,17.93866486,12.37411458,4.11427,3315.47,4.176,4.404,2215.4,41.2,2383.95,66809.94,1377.452
2024-07-30,17147.4167,19.99503048,11.58714343,4.813123016,4.11323,3324.95,4.141,4.361,2207.3,40.86,2410.77,66216.2,1380.182
2024-07-31,17599.3997,27.02541248,40.39742394,25.72491833,4.21506,3453.74,4.033,4.26,2281.7,41.86,2447.56,64645.93,1364.842
2024-08-01,17194.1453,24.88621126,26.22421394,12.42940787,4.0905,3099.48,3.978,4.15,2242.1,40.47,2446.27,65336.55,1365.702
2024-08-02,16776.1636,22.16596218,16.03434084,1.412307845,4.14922,2886.91,3.794,3.886,2231.2,39.13,2441.74,61444.49,1354.102
2024-08-05,16200.082,22.34779667,19.7365722,-10.40926526,4.02949,2815.54,3.792,3.924,2227.7,37.96,2409.88,54051.91,1363.962
2024-08-06,16366.8545,24.34660538,28.03801493,-3.518480215,4.03279,2864.84,3.896,3.981,2270.1,37.95,2390.43,56092.02,1371.402
2024-08-07,16195.8055,24.2165198,25.73701063,-6.93692719,3.95473,2828.35,3.943,3.966,2241.3,37.97,2382.88,55138.53,1372.732
2024-08-08,16660.021,29.01941118,41.78688506,10.95377256,4.0067,2892.6,3.992,4.042,2254.6,38.9,2427.42,61727.57,1370.052
2024-08-09,16745.3021,33.91471626,52.53671589,13.95333059,4.01081,2878.5,3.944,4.059,2266.4,38.66,2430.12,60881.01,1361.842
2024-08-12,16780.6092,38.2289371,58.32548901,15.24251954,4.09354,2901.52,3.907,4.019,2278.2,38.06,2472.48,59380.17,1367.182
2024-08-13,17187.6075,45.95912114,75.33285721,29.15074771,4.08591,2918.57,3.845,3.936,2294.6,38.5,2464.89,60622.3,1360.482
