time,vol_phase,vol_amp,period_months,period_years,phase_fit_r2,months_until_fear,months_until_euphoria,fear_window_24m,fear_window_36m,euphoria_window_24m,euphoria_window_36m,confidence,nasdaq_close,nasdaq_sma,nasdaq_overext,nasdaq_mom_fast,nasdaq_mom_slow,vol_ann,vol_z,trend_break,overext_flag,mom_decel,macro_risk,fear_level,euphoria_level,fear_trigger,euphoria_trigger
1992-12-17,,,,,,,,0,0,0,0,0.0,658.5,590.688,0.11480172273687628,0.03717120806426211,0.1295025728987993,0.09327183584274462,-0.9829905411599585,0,0,1,0,0,0,0,0
1992-12-18,,,,,,,,0,0,0,0,0.0,661.3,590.9145000000001,0.11911283273637707,0.03554650798621983,0.12869090288445117,0.09258060088720976,-1.0042149405975225,0,0,1,0,0,0,0,0
1992-12-21,,,,,,,,0,0,0,0,0.0,662.5,591.148,0.12070073822460703,0.03096794273264858,0.14778239778239777,0.0911247522841018,-1.0470626545465822,0,0,1,0,0,0,0,0
1992-12-22,,,,,,,,0,0,0,0,0.0,660.8,591.3344999999999,0.11747242888754172,0.03443957420162813,0.1486181122892405,0.08836795811874491,-1.129761907941301,0,0,1,0,0,0,0,0
1992-12-23,,,,,,,,0,0,0,0,0.0,663.0,591.564,0.12075785544759321,0.026474686483975773,0.14785318559556782,0.08178815148993829,-1.3267270158518336,0,0,1,0,0,0,0,0
1992-12-24,,,,,,,,0,0,0,0,0.0,665.9,591.814,0.12518460191884606,0.027147925343205426,0.14160809189096524,0.08206231310607996,-1.309653827362525,0,0,1,0,0,0,0,0
1992-12-28,,,,,,,,0,0,0,0,0.0,666.3,592.0525,0.12540695293069448,0.025866050808313945,0.15217015389936028,0.08208082196387148,-1.2983656933755994,0,0,1,0,0,0,0,0
1992-12-29,,,,,,,,0,0,0,0,0.0,669.0,592.308,0.1294799327376972,0.02497318829477546,0.17039888033589912,0.08164729505969306,-1.30108653026541,0,0,1,0,0,0,0,0
1992-12-30,,,,,,,,0,0,0,0,0.0,671.9,592.5509999999999,0.13391083636682755,0.027370030581039817,0.18878273177636218,0.08231618575098425,-1.2701676950479552,0,0,1,0,0,0,0,0
1992-12-31,,,,,,,,0,0,0,0,0.0,677.0,592.8115,0.1420156322878352,0.03691223770868435,0.18647038205397815,0.08422153428687931,-1.2021288408451651,0,0,1,0,0,0,0,0
1993-01-04,,,,,,,,0,0,0,0,0.0,671.8,593.0405000000001,0.13280627545673496,0.023461304082876167,0.18025298664792677,0.08926463755608126,-1.040113768102334,0,0,1,0,0,0,0,0
1993-01-05,,,,,,,,0,0,0,0,0.0,674.3,593.2905000000001,0.13654272232574072,0.019195888754534263,0.17494336992507398,0.08640185864021062,-1.1191925826344091,0,0,1,0,0,0,0,0
1993-01-06,,,,,,,,0,0,0,0,0.0,681.9,593.591,0.14877078661906928,0.023105776444110937,0.19526730937773884,0.09094659091279579,-0.9736888292829543,0,0,1,0,0,0,0,0
1993-01-07,,,,,,,,0,0,0,0,0.0,678.2,593.8885,0.14196520053848505,0.01663918453005553,0.181944928546532,0.09376363280141767,-0.8818806119163981,0,0,1,0,0,0,0,0
1993-01-08,,,,,,,,0,0,0,0,0.0,677.2,594.177,0.13972772423032187,0.02003313752071101,0.17487855655794604,0.0919323888438351,-0.9309272334502089,0,0,1,0,0,0,0,0
1993-01-11,,,,,,,,0,0,0,0,0.0,682.4,594.5120000000001,0.14783217159619966,0.035665503111246055,0.18431100312391524,0.08914785669761462,-1.008061285583041,0,0,1,0,0,0,0,0
1993-01-12,,,,,,,,0,0,0,0,0.0,679.5,594.886,0.14223565523478454,0.036139066788655194,0.17438645005184927,0.08874439949397901,-1.012718251526541,0,0,1,0,0,0,0,0
1993-01-13,,,,,,,,0,0,0,0,0.0,686.8,595.3095000000001,0.153685603874959,0.04903009011761106,0.1788534157226227,0.09293121102997767,-0.8796047341484085,0,1,1,0,0,0,0,0
1993-01-14,,,,,,,,0,0,0,0,0.0,695.7,595.769,0.16773447426771115,0.06899200983405063,0.1777552056881666,0.09449459396197354,-0.8265314562234366,0,1,1,0,0,0,0,0
1993-01-15,,,,,,,,0,0,0,0,0.0,697.2,596.2445,0.16931896227135024,0.07327586206896552,0.1763117934874303,0.09271620449693081,-0.8740107506773369,0,1,1,0,0,0,0,0
1993-01-18,,,,,,,,0,0,0,0,0.0,698.1,596.7660000000001,0.1698052502991121,0.06013667425968117,0.1689551239115874,0.08525332808084267,-1.090687727794392,0,1,1,0,0,0,0,0
1993-01-19,,,,,,,,0,0,0,0,0.0,696.8,597.3,0.16658295663820533,0.05368214123695747,0.1669737062468597,0.08667889503742668,-1.0404184905786587,0,1,1,0,0,0,0,0
1993-01-20,,,,,,,,0,0,0,0,0.0,697.4,597.8055,0.16660017346779155,0.05267924528301893,0.1675874769797423,0.08685490814799063,-1.0290329834738023,0,1,1,0,0,0,0,0
1993-01-21,,,,,,,,0,0,0,0,0.0,700.8,598.4015,0.17112005902391614,0.060532687651331685,0.17014526632158944,0.08509191553069839,-1.0764841078041876,0,1,1,0,0,0,0,0
1993-01-22,,,,,,,,0,0,0,0,0.0,701.6,599.0409999999999,0.171205309820196,0.05822021116138765,0.17520938023450583,0.0853077478649643,-1.0633304655067866,0,1,1,0,0,0,0,0
1993-01-25,,,,,,,,0,0,0,0,0.0,707.0,599.6419999999999,0.17903682530576592,0.061720979125994946,0.1755902893249086,0.08681792145750435,-1.010999008042332,0,1,1,0,0,0,0,0
1993-01-26,,,,,,,,0,0,0,0,0.0,707.2,600.257,0.17816202060117603,0.061383761068587894,0.1673819742489273,0.08693611209560104,-1.000028778270246,0,1,1,0,0,0,0,0
1993-01-27,,,,,,,,0,0,0,0,0.0,697.9,600.8055,0.16160720898859937,0.04319880418535127,0.15317250495703894,0.1031659345673557,-0.49112266684584255,0,1,1,0,0,0,0,0
1993-01-28,,,,,,,,0,0,0,0,0.0,694.7,601.305,0.15532051122142687,0.03393362107456488,0.14335088874259383,0.10536505702086223,-0.4165143803325783,0,1,1,0,0,0,0,0
1993-01-29,,,,,,,,0,0,0,0,0.0,696.3,601.7865,0.1570548691271736,0.02850812407680947,0.15167052596758168,0.10320131034566843,-0.47815262373241557,0,1,1,0,0,0,0,0
1993-02-01,,,,,,,,0,0,0,0,0.0,701.8,602.3365,0.16512945836754023,0.04465614766299497,0.15904211395540857,0.09989941455991024,-0.5759204498860104,0,1,1,0,0,0,0,0
1993-02-02,,,,,,,,0,0,0,0,0.0,705.1,602.976,0.16936660828955064,0.04567699836867867,0.1481843347988927,0.10014414819305945,-0.5620753710059908,0,1,1,0,0,0,0,0
1993-02-03,,,,,,,,0,0,0,0,0.0,708.7,603.6439999999999,0.17403635255216687,0.03930195043261486,0.14899481193255526,0.09530565729459924,-0.7095872217877158,0,1,1,0,0,0,0,0
1993-02-04,,,,,,,,0,0,0,0,0.0,708.9,604.2975,0.17309768781105328,0.045266882925390606,0.13952740716926537,0.09172000743462472,-0.8173658717188143,0,1,1,0,0,0,0,0
1993-02-05,,,,,,,,0,0,0,0,0.0,701.0,604.922,0.15882708845107296,0.035144713526284566,0.11659764256132532,0.10215236614112472,-0.4775390951558361,0,1,1,0,0,0,0,0
1993-02-08,,,,,,,,0,0,0,0,0.0,698.4,605.5495,0.15333263424377375,0.023446658851113744,0.10001575051189171,0.10141896726761347,-0.49519678910501436,0,1,1,0,0,0,0,0
1993-02-09,,,,,,,,0,0,0,0,0.0,692.2,606.1759999999999,0.14191257984479777,0.018690213392200228,0.09110970996216916,0.10571351682602867,-0.35127439193237114,0,0,1,0,0,0,0,0
1993-02-10,,,,,,,,0,0,0,0,0.0,695.0,606.8494999999999,0.1452592446726908,0.011939429237041388,0.09070935342121778,0.10029510627240147,-0.5204829476641565,0,0,1,0,0,0,0,0
1993-02-11,,,,,,,,0,0,0,0,0.0,695.9,607.4795,0.14555305981518707,0.00028748023573377246,0.0976340694006308,0.08977198195439655,-0.8559391069652996,0,0,1,0,0,0,0,0
1993-02-12,,,,,,,,0,0,0,0,0.0,690.5,608.0385,0.1356188793966171,-0.009609868043603087,0.10110030298198058,0.09329941235621708,-0.7346330140791716,0,0,0,0,0,0,0,0
1993-02-16,,,,,,,,0,0,0,0,0.0,665.4,608.475,0.09355355602120041,-0.046841426729694935,0.0480390612694912,0.15491549751882908,1.2933159423526388,0,0,0,0,0,0,0,0
1993-02-17,,,,,,,,0,0,0,0,0.0,659.4,608.8545,0.08301737114532282,-0.05367393800229614,0.03257124960851865,0.15660172618917698,1.3472291902697928,0,0,0,0,0,0,0,0
1993-02-18,,,,,,,,0,0,0,0,0.0,662.5,609.2265,0.08744448903650781,-0.05004301691998847,0.03096794273264858,0.1582584474082813,1.3941685495618146,0,0,0,0,0,0,0,0
1993-02-19,,,,,,,,0,0,0,0,0.0,663.6,609.5975,0.08858714151550817,-0.05308219178082185,0.038822792736380896,0.15675100793070357,1.33810643853597,0,0,0,0,0,0,0,0
1993-02-22,,,,,,,,0,0,0,0,0.0,652.4,609.9235000000001,0.06964234039186867,-0.07012542759407081,0.01006347731847046,0.16347747800687873,1.5487713623123565,0,0,0,0,0,0,0,0
1993-02-23,,,,,,,,0,0,0,0,0.0,651.4,610.2515,0.06742875683222405,-0.07864214992927865,0.00478173685022365,0.15850221596569258,1.3800264948434937,0,0,0,0,0,0,0,0
1993-02-24,,,,,,,,0,0,0,0,0.0,662.5,610.6285,0.0849477218963739,-0.06320701357466074,0.02001539645881456,0.17409244660525988,1.8747440603151941,0,0,0,0,0,0,0,0
1993-02-25,,,,,,,,0,0,0,0,0.0,667.1,611.044,0.0917380745085461,-0.04413239719157469,0.02206220315612062,0.17349898185872029,1.8431305660772397,0,0,0,0,0,0,0,0
1993-02-26,,,,,,,,0,0,0,0,0.0,670.8,611.486,0.0969997677788208,-0.03440333957103803,0.025688073394495303,0.17527135009194214,1.8859376619900357,0,0,0,0,0,0,0,0
1993-03-01,,,,,,,,0,0,0,0,0.0,669.5,611.951,0.0940418432194734,-0.03848915697256927,0.025425026803492123,0.1746679007675047,1.853006314852605,0,0,0,0,0,0,0,0
1993-03-02,,,,,,,,0,0,0,0,0.0,677.7,612.4675,0.10650769224489465,-0.03434026788258748,0.032449725776965366,0.17835111687147,1.9539532549682999,0,0,0,0,0,0,0,0
1993-03-03,,,,,,,,0,0,0,0,0.0,683.9,613.0045,0.11565249521006771,-0.030066657211743064,0.03370616686819816,0.18100026922956647,2.0182851879932904,0,0,0,0,0,0,0,0
1993-03-04,,,,,,,,0,0,0,0,0.0,680.7,613.5175,0.10950380388497472,-0.03950896006772964,0.021305326331582997,0.17968947616676445,1.9598965635263281,0,0,0,0,0,0,0,0
1993-03-05,,,,,,,,0,0,0,0,0.0,681.4,614.023,0.10973041726449972,-0.03879249541543239,0.02143606655673813,0.17982469306400153,1.9480068870889127,0,0,0,0,0,0,0,0
1993-03-08,,,,,,,,0,0,0,0,0.0,687.2,614.5635,0.11819201758646591,-0.01968616262482159,0.0350956469347794,0.17996782602992537,1.9364488075369917,0,0,0,0,0,0,0,0
1993-03-09,,,,,,,,0,0,0,0,0.0,689.0,615.1070000000001,0.12013031879006397,-0.01345933562428403,0.045682197602064045,0.18006775291106777,1.926500668195318,0,0,0,0,0,0,0,0
1993-03-10,,,,,,,,0,0,0,0,0.0,692.9,615.693,0.12539853465931894,0.0010112684195318078,0.056572125648063576,0.17867917418995088,1.873353974827172,0,0,1,0,0,0,0,0
