date,state,gross_exposure,cash_weight,w_NASDAQ,w_GOLD,w_BTC,w_USDKRW,w_COPPER,w_REMX,w_ALUMINUM,w_URANIUM,w_UST10Y,w_UST2Y,portfolio_ret,portfolio_curve,portfolio_dd
2003-08-04,NORMAL,2.000000,-1.000000,0.622665,0.686501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.690834,0.006134,105.723709,-0.062914
2003-08-05,NORMAL,2.000000,-1.000000,0.603278,0.698361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.698361,-0.008449,104.830466,-0.070831
2003-08-06,NORMAL,2.000000,-1.000000,0.597089,0.701456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.701456,-0.009420,103.842936,-0.079584
2003-08-07,NORMAL,2.000000,-1.000000,0.614088,0.692956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.692956,0.002409,104.093143,-0.077366
2003-08-08,NORMAL,2.000000,-1.000000,0.627199,0.683917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.688884,0.005205,104.634973,-0.072564
2003-08-11,NORMAL,2.000000,-1.000000,0.636318,0.669758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.693924,0.016663,106.378524,-0.057110
2003-08-12,NORMAL,2.000000,-1.000000,0.606657,0.695651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.697692,0.002953,106.692668,-0.054325
2003-08-13,NORMAL,2.000000,-1.000000,0.610321,0.687669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.702009,0.008339,107.582329,-0.046440
2003-08-14,NORMAL,2.000000,-1.000000,0.667770,0.656752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.675477,0.010285,108.688842,-0.036632
2003-08-15,NORMAL,2.000000,-1.000000,0.673772,0.650060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.676168,-0.002576,108.408815,-0.039114
2003-08-18,NORMAL,2.000000,-1.000000,0.664080,0.645302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.690618,0.004746,108.923304,-0.034554
2003-08-19,NORMAL,2.000000,-1.000000,0.671438,0.637805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.690757,0.014585,110.511992,-0.020473
2003-08-20,NORMAL,2.000000,-1.000000,0.657346,0.671327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.671327,0.008308,111.430117,-0.012335
2003-08-21,NORMAL,2.000000,-1.000000,0.671606,0.654472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.673922,-0.005023,110.870403,-0.017296
2003-08-22,NORMAL,2.000000,-1.000000,0.674386,0.651228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.674386,-0.001361,110.719490,-0.018634
2003-08-25,NORMAL,2.000000,-1.000000,1.014812,0.985188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003564,110.324852,-0.022131
2003-08-26,NORMAL,2.000000,-1.000000,1.014587,0.985413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012374,111.689970,-0.010032
2003-08-27,NORMAL,2.000000,-1.000000,0.680108,0.639783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.680108,0.028479,114.870805,0.000000
2003-08-28,NORMAL,2.000000,-1.000000,1.034239,0.965761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000977,114.983076,0.000000
2003-08-29,NORMAL,2.000000,-1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021315,117.433926,0.000000
2003-09-02,NORMAL,2.000000,-1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007553,118.320957,0.000000
2003-09-03,NORMAL,2.000000,-1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011310,119.659137,0.000000
2003-09-04,NORMAL,2.000000,-1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007335,120.536891,0.000000
2003-09-05,NORMAL,2.000000,-1.000000,0.666667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.004973,121.136282,0.000000
2003-09-08,NORMAL,2.000000,-1.000000,0.666960,0.666079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666960,0.009608,122.300175,0.000000
2003-09-09,NORMAL,2.000000,-1.000000,0.674117,0.651767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.674117,0.007081,123.166223,0.000000
2003-09-10,NORMAL,2.000000,-1.000000,0.670640,0.658721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.670640,-0.020504,120.640786,-0.020504
2003-09-11,NORMAL,2.000000,-1.000000,0.667305,0.665390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.667305,0.008126,121.621114,-0.012545
2003-09-12,NORMAL,2.000000,-1.000000,0.674981,0.650037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.674981,-0.005808,120.914702,-0.018280
2003-09-15,NORMAL,2.000000,-1.000000,0.673484,0.653033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.673484,-0.004505,120.370019,-0.022703
2003-09-16,NORMAL,2.000000,-1.000000,0.665513,0.667244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.667244,0.014051,122.061371,-0.008970
2003-09-17,NORMAL,2.000000,-1.000000,0.666667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.004849,122.653203,-0.004165
2003-09-18,NORMAL,2.000000,-1.000000,0.660819,0.669590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.669590,0.008496,123.695272,0.000000
2003-09-19,NORMAL,2.000000,-1.000000,0.660786,0.669607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.669607,0.008458,124.741497,0.000000
2003-09-22,NORMAL,2.000000,-1.000000,0.636242,0.681879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.681879,-0.002087,124.481165,-0.002087
2003-09-23,NORMAL,2.000000,-1.000000,0.627854,0.686073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.686073,0.004741,125.071280,0.000000
2003-09-24,NORMAL,2.000000,-1.000000,0.556817,0.721592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.721592,-0.011211,123.669044,-0.011211
2003-09-25,NORMAL,2.000000,-1.000000,0.545286,0.727357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.727357,-0.013877,121.952927,-0.024933
2003-09-26,NORMAL,2.000000,-1.000000,0.539956,0.730022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.730022,-0.016608,119.927539,-0.041126
2003-09-29,NORMAL,2.000000,-1.000000,0.526900,0.736550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.736550,0.013852,121.588830,-0.027844
2003-09-30,NORMAL,2.000000,-1.000000,0.522743,0.738629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.738629,-0.005517,120.918055,-0.033207
2003-10-01,NORMAL,2.000000,-1.000000,0.362101,0.545966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.545966,0.545966,0.014187,122.633493,-0.019491
2003-10-02,NORMAL,2.000000,-1.000000,0.364333,0.545222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.545222,0.545222,-0.001371,122.465387,-0.020835
2003-10-03,NORMAL,2.000000,-1.000000,0.358360,0.513393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.564123,0.564123,-0.013136,120.856663,-0.033698
2003-10-06,NORMAL,2.000000,-1.000000,0.365088,0.506849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.564031,0.564031,0.005330,121.500826,-0.028547
2003-10-07,NORMAL,2.000000,-1.000000,0.499007,0.731993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.769000,-0.000437,121.447701,-0.028972
2003-10-08,NORMAL,2.000000,-1.000000,0.524514,0.720960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.754526,-0.006285,120.684368,-0.035075
2003-10-09,NORMAL,2.000000,-1.000000,0.532463,0.705388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.762150,-0.004837,120.100655,-0.039742
2003-10-10,NORMAL,2.000000,-1.000000,0.530413,0.711118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.758470,0.006486,120.879653,-0.033514
2003-10-13,NORMAL,2.000000,-1.000000,0.530617,0.710247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.759135,0.008682,121.929135,-0.025123
2003-10-14,NORMAL,2.000000,-1.000000,0.548397,0.701963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.749639,0.002595,122.245528,-0.022593
2003-10-15,NORMAL,2.000000,-1.000000,0.546506,0.706501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.746993,-0.005406,121.584666,-0.027877
2003-10-16,NORMAL,2.000000,-1.000000,0.553504,0.702499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.743997,-0.000110,121.571337,-0.027984
2003-10-17,NORMAL,2.000000,-1.000000,0.835252,1.164748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013173,119.969874,-0.040788
2003-10-20,NORMAL,2.000000,-1.000000,0.535969,0.732016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.732016,0.010910,121.278703,-0.030323
2003-10-21,NORMAL,2.000000,-1.000000,0.552166,0.704800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.743034,0.018798,123.558517,-0.012095
2003-10-22,NORMAL,2.000000,-1.000000,0.578720,0.687232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.734048,-0.002166,123.290872,-0.014235
2003-10-23,NORMAL,2.000000,-1.000000,0.587128,0.687361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.725511,-0.005537,122.608149,-0.019694
2003-10-24,NORMAL,2.000000,-1.000000,0.591376,0.687616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.721008,0.001306,122.768255,-0.018414
2003-10-27,NORMAL,2.000000,-1.000000,0.604507,0.681300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.714193,0.005247,123.412400,-0.013263
2003-10-28,NORMAL,2.000000,-1.000000,0.609387,0.670980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.719633,0.005715,124.117735,-0.007624
2003-10-29,NORMAL,2.000000,-1.000000,0.647525,0.647073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.705402,0.009842,125.339357,0.000000
2003-10-30,NORMAL,2.000000,-1.000000,0.647096,0.645133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.707771,-0.008893,124.224676,-0.008893
2003-10-31,NORMAL,2.000000,-1.000000,0.666667,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.001231,124.377569,-0.007673
2003-11-03,NORMAL,2.000000,-1.000000,0.646603,0.676699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.676699,-0.001309,124.214700,-0.008973
2003-11-04,NORMAL,2.000000,-1.000000,0.976392,1.023608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001636,124.417946,-0.007351
2003-11-05,NORMAL,2.000000,-1.000000,0.652795,0.673603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.673603,0.005558,125.109405,-0.001835
2003-11-06,NORMAL,2.000000,-1.000000,0.985654,1.014346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001846,125.340343,0.000000
