time,months_until_fear,months_until_euphoria,fear_window_24m,fear_window_36m,euphoria_window_24m,euphoria_window_36m,confidence_fear,confidence_euphoria,confidence,fear_period_months,euphoria_period_months,fear_phase,euphoria_phase,nasdaq_close,nasdaq_sma,nasdaq_overext,nasdaq_mom_fast,nasdaq_mom_slow,vol_ann,vol_z,runup_12m,trend_break,overext_flag,mom_decel,macro_risk,fear_level,euphoria_level,fear_trigger,euphoria_trigger
1991-04-09,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,492.5,399.94450000000006,0.2314208596442755,0.03662386865922951,0.41482332663027854,0.15940900315816336,0.07285935839563709,0.14481636448163648,0,1,0,1,1,2,0,0
1991-04-10,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,490.8,400.12050000000005,0.2266304775686323,0.050513698630137105,0.44736066057210255,0.15924403132155757,0.06589779986470987,0.13637416068534391,0,1,0,1,1,2,0,0
1991-04-11,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,499.3,400.34,0.2471898885946946,0.08214130905938455,0.498049804980498,0.1604774871107847,0.08794737434405643,0.1517877739331026,0,1,0,1,1,2,0,0
1991-04-12,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,501.6,400.5635,0.2522359126580431,0.07133703545493386,0.5405405405405406,0.16010043347317635,0.07600079732545695,0.14966765986706387,0,1,0,1,1,2,0,0
1991-04-15,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,500.8,400.76550000000003,0.24960856161520883,0.07054296707994867,0.5286935286935286,0.1545010929656928,-0.04478963514409977,0.14678268834440122,0,1,0,1,1,2,0,0
1991-04-16,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,506.8,400.98800000000006,0.2638782207946371,0.08685395668024887,0.5380880121396054,0.1550210541472643,-0.03800857002269225,0.16398713826366573,0,1,0,1,1,2,0,0
1991-04-17,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,511.3,401.23449999999997,0.27431713873059294,0.09650439631138741,0.5712968653964352,0.15151602476052178,-0.1153152963840467,0.18493626882966407,0,1,0,1,1,2,0,0
1991-04-18,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,506.6,401.45849999999996,0.26189880149504896,0.09464131374243734,0.5501835985312118,0.14649173516488995,-0.2244328784381124,0.1808857808857809,0,1,0,1,1,2,0,0
1991-04-19,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,501.2,401.6685,0.2477951345450291,0.0753057283844667,0.5005988023952095,0.14969174488912843,-0.16091126497181682,0.17707844058243305,0,1,0,1,1,2,0,0
1991-04-22,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,494.4,401.838,0.23034655756797506,0.06414119672836849,0.46532305868405466,0.15391659911604097,-0.07623255276899625,0.17686265174958327,0,1,0,1,1,2,0,0
1991-04-23,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,496.1,402.01,0.23404890425611313,0.06872037914691953,0.454412195836998,0.15342913762277247,-0.09095535729799663,0.18344465648854968,0,1,0,1,1,2,0,0
1991-04-24,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,498.5,402.1975,0.23944082198422412,0.06403415154749204,0.4614482556435062,0.152435909526096,-0.11660935972142762,0.185211602472658,0,1,0,1,1,2,0,0
1991-04-25,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,496.0,402.35799999999995,0.23273303873664752,0.03635603844546598,0.4545454545454546,0.15039955995292947,-0.16446619817661678,0.17786748990738532,0,1,0,1,1,2,0,0
1991-04-26,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,494.6,402.495,0.22883514080920264,0.02529021558872313,0.45599057992346204,0.15077023919603735,-0.16124586720564277,0.18325358851674656,0,1,0,1,1,2,0,0
1991-04-29,,3.103098963460092,0,0,1,1,0.0,0.5511311925737559,0.27556559628687793,,22.539538472167255,,-0.8650286179556326,487.7,402.5915,0.21140163167876125,0.011196350818992284,0.45843301435406714,0.15470774972361723,-0.08194484220341484,0.16091406807902864,0,1,0,1,1,2,0,0
